Puesto,Datos / BI,Procesos,Produccion
175. Senior Data Engineer,1,0,0
176. Senior Data Engineer,1,0,0
AI & Data Engineer,1,0,0
ANALISTA BIM,1,0,0
ANALISTA DE DATOS (GTR) UIO,1,0,0
ANALISTA DE DATOS CD MITAD DEL MUNDO 2026,1,0,0
ANALISTA DE DATOS/ GUAYAQUIL,1,0,0
ANALISTA DE PROCESOS Y PROYECTOS,0,1,0
ASISTENTE DE PROCESOS - QUITO/NORTE,0,1,0
ASISTENTE DE PRODUCCIÓN,0,0,2
AWS Data Engineer - Remote Work | REF#302394,1,0,0
AYUDANTE DE PRODUCCION,0,0,1
Administrador/A De Operaciones Empresa De Producción Técnica,0,0,1
Administrador/a de Bases de Datos – SQL Server / Azure,1,0,0
Analista BI y Machine Learning,1,0,0
Analista Data Science,1,0,0
"Analista Junior de Procesos, Producción y Estandarización ERP",0,0,1
Analista Senior de Procesos,0,1,0
Analista de Calidad y Auditoría de Procesos Jr. | Remoto,0,1,0
Analista de Datos - DB&T,1,0,0
Analista de Datos e IA conversacional,1,0,0
Analista de Información y Datos Estándar,1,0,0
Analista de Información y Datos Senior,1,0,0
Analista de Inteligencia y Datos,1,0,0
Analista de Procesos,0,2,0
Analista de Procesos y Mejora Continua,0,1,0
Analista de Producción,0,0,1
Analista de datos,3,0,0
Analista de procesos y proyectos,0,1,0
Analista en Business Intelligence (BI) / Analista de Inteligencia de Negocios para Quito,1,0,0
Analista en Business Intelligence (BI)/Analist de Inteligencia BI,1,0,0
Asistente De Gestión Documental Y Protección De Datos,1,0,0
Asistente de producción,0,0,1
Auxiliar de Producción,0,0,2
Ayudante De Produccion,0,0,1
Ayudante de Produccion / Montacarguista (Reemplazo por Vacaciones),0,0,1
Becario de producción,0,0,1
Business Analyst,3,0,0
Business Analyst - Remote (Ecuador),1,0,0
Business Analyst Medios de Pago,1,0,0
Business Analyst Sr,1,0,0
Business Intelligence & Power BI Architect - Remote Work | REF#300765,1,0,0
Business Intelligence Analyst,1,0,0
Business Intelligence Intern,1,0,0
CONSULTOR DATA SCIENCE QUITO,1,0,0
COORDINADOR DE BUSINESS INTELLIGENCE,2,0,0
Capacitador Delegados De Protección De Datos Personales.,1,0,0
Científico de Datos,2,0,0
Científico/a de Datos,1,0,0
Cloud Data Center Administrator,1,0,0
"Consultant, Business Analyst",1,0,0
Consultor Técnico ERPs (Orientado a Bases de Datos y Sistemas Operativos),1,0,0
Coordinador de Excelencia Operacional y Calidad de Procesos,0,1,0
Coordinador de Producción Junior,0,0,1
Credit/Business Analyst,1,0,0
DATA BUSINESS ANALYST - QUITO,1,0,0
DATA ENGINEER,2,0,0
DATA SCIENCE CONSULTANT BILBAO,1,0,0
Data & Market Intelligence Lead,1,0,0
Data Analyst,3,0,0
Data Analyst - Quito,1,0,0
Data Analyst BI,1,0,0
Data Analyst BI | Medios Digitales y Publicidad,1,0,0
Data Analyst Junior,2,0,0
Data Architect,1,0,0
Data Engineer,3,0,0
Data Engineer (AWS) - Remote Work | REF#300897,1,0,0
Data Engineer (Python + AWS + DBT) - Remote - Latin America,3,0,0
Data Engineer - Remote Work,2,0,0
Data Entry Specialist,1,0,0
Data Modeler (Erwin / MDM) - Remote Work,1,0,0
Data Modeler (Erwin / MDM) - Remote Work | REF#297481,1,0,0
Data Solutions Specialist,1,0,0
Data&Cx Intern,1,0,0
Database Consultant,1,0,0
Delegado De Protección De Datos Sector Salud -Ing. Sistemas/Leyes,1,0,0
ECU - Operations & Master Data Specialist,1,0,0
ESPECIALISTA EN GESTIÓN DE BASE DE DATOS,1,0,0
Ejecutivo de Mejora Continua,0,1,0
Espec Transf Digital & Mejora Continua,0,1,0
Especialista en entrada de datos y transcripción,2,0,0
Finance Data Analyst - Quito,1,0,0
Gerente Senior de Procesos de Calidad,0,1,0
INGENIERO DE MEJORA CONTINUA,0,1,0
IT System Business Analyst,1,0,0
Ingeniero Industrial,0,1,0
